control_id,control_family,control_name,status,objective,evidence_files,validation_commands
CC6.1,Access Control,API authentication and scoped authorization,READY,Enforce API key authentication and scope checks across protected routes.,apps/api/src/security.ts | apps/api/src/server.ts,npm -w apps/api run typecheck | npm -w apps/api run test -- src/registry-adapters.test.ts
CC6.7,Change and Configuration,Production-safe startup and env guardrails,READY,Block production boot when required trust-source credentials are missing.,apps/api/src/server.ts | README.md | TASKS.md,rg -n 'Missing required production env vars|TRUST_REGISTRY_SOURCE|PROPERTY_API_KEY' apps/api/src/server.ts
CC7.2,Change Management,Planned delivery tracking and evidence continuity,READY,Track tasks backlog sequencing and linked evidence artifacts.,TASKS.md | docs/registry/free_primary_sources_catalog.md | notebooks/vanta-evidence-master.ipynb,git log --date=short --pretty=format:%h|%ad|%s --max-count=40 | git status --short
CC7.4,Governance and CI Assurance,Required checks and branch protection enforcement,IN_PROGRESS,Restore CI required checks and enforce branch protection on master with evidence snapshots.,BLOCKED.md | TASKS.md | docs/PRODUCTION_GOVERNANCE_TRACKER.md | .github/workflows/ci.yml | src/verifiers/zkmlVerifier.ts | tests/api/routes.test.ts | tests/e2e/verify.test.ts | tests/e2e/verify-negative.test.ts | scripts/apply-github-branch-protection.sh | scripts/capture-github-governance-evidence.sh | docs/evidence/security/ci-required-checks-2026-03-07.md | notebooks/governance-ci-unblock-2026-03-07.ipynb,./scripts/apply-github-branch-protection.sh <owner/repo> master | ./scripts/capture-github-governance-evidence.sh <owner/repo> master | npx tsc --strict --noEmit | npx vitest run tests/api/routes.test.ts | npx vitest run tests/e2e/verify.test.ts tests/e2e/verify-negative.test.ts | npx vitest run --coverage | gh pr checks 11 --repo TrustSignal-dev/TrustSignal
CC7.3,Security Operations,Fail-closed external dependency handling,READY,Return compliance gaps when primary-source checks are unavailable.,apps/api/src/services/registryAdapters.ts | apps/api/src/registry-adapters.test.ts | SECURITY_CHECKLIST.md,npm -w apps/api run test -- src/registry-adapters.test.ts
CC8.1,Third-Party and Source Governance,Primary-source endpoint integrity,READY,Limit registry adapters to official primary-source providers with host validation.,apps/api/src/services/registryAdapters.ts | docs/registry/free_primary_sources_catalog.md,rg -n 'officialSourceName|primarySourceHost|validatePrimarySourceEndpoint' apps/api/src/services/registryAdapters.ts
CC9.2,Incident and Monitoring,Operational baseline and incident workflow,IN_PROGRESS,Maintain incident process and SLO evidence while monitoring artifacts are deployed and fire or resolution evidence is captured.,docs/final/10_INCIDENT_ESCALATION_AND_SLO_BASELINE.md | docs/ops/monitoring/alert-rules.yml | docs/ops/monitoring/grafana-dashboard-deedshield-api.json | docs/ops/monitoring/README.md | docs/PRODUCTION_GOVERNANCE_TRACKER.md | TASKS.md,promtool check rules docs/ops/monitoring/alert-rules.yml | jq empty docs/ops/monitoring/grafana-dashboard-deedshield-api.json | rg -n 'dashboard|alert|SLO|incident' docs/final/10_INCIDENT_ESCALATION_AND_SLO_BASELINE.md docs/PRODUCTION_GOVERNANCE_TRACKER.md TASKS.md
A1.2,Availability,Service health and status telemetry,READY,Expose health status and metrics endpoints for runtime inspection.,apps/api/src/server.ts | docs/evidence/staging/vercel-staging-2026-02-27.md,rg -n '/api/v1/health|/api/v1/status|/api/v1/metrics' apps/api/src/server.ts
PI1.1,Processing Integrity,Vanta schema and normalized verification payload,READY,Return deterministic versioned evidence payloads suitable for partner ingestion.,apps/api/src/server.ts | docs/final/14_VANTA_INTEGRATION_USE_CASE.md | docs/evidence/staging/vanta-integration-2026-03-05-dry-run.md,rg -n '/api/v1/integrations/vanta/schema|/api/v1/integrations/vanta/verification' apps/api/src/server.ts
C1.1,Confidentiality,Secrets hygiene and historical remediation,IN_PROGRESS,Maintain secret hygiene and complete external purge and rotation attestations.,SECURITY_CHECKLIST.md | docs/final/07_SECRET_ROTATION_AND_HISTORY_REMEDIATION.md | docs/evidence/security/history-remediation-2026-02-25.md | docs/evidence/security/github-org-hardening-2026-03-07.md | scripts/capture-github-governance-evidence.sh | TASKS.md,rg -n 'Rotate|purge|history|secret' SECURITY_CHECKLIST.md TASKS.md docs/final/07_SECRET_ROTATION_AND_HISTORY_REMEDIATION.md | ./scripts/capture-github-governance-evidence.sh <owner/repo> master
