deed_hash,text_length,num_signatures,notary_present,days_since_notarized,amount,label
1337b9c3c6aa8c9cea7edd00a92daa8d4e863e7f6b8c850d742cd9a6d6c5ed5e,1683,2,True,331,668201.9209606373,0
ff19013f060ac509d270ed5d3fb7084d434d4baaa64934ec55a91a9ae9737102,1571,3,False,133,1030.8333192932887,1
8c6a2a4195a4bd47a9b36695e8cb96631ada8d36b3894ebbcad465a8eb4fd22a,1477,3,True,259,144492.2479761304,0
ffc543819b74aa05ff489fdda7f17ecc3c6a90c2331369024d2b098ffdcf2793,494,0,False,101,410046.94256769045,1
524ca4301cac561ac4cd21381249c035401951d4dfcf7a14120143dcb081c396,1086,1,True,360,1312245.6820359838,1
ad794c127e3e1c8b84333371f570802f4772b28b5aeb21cdbbdb6a5734825518,1962,3,True,175,216502.4488865399,0
ba4991756fe07914f5c5fe9b7adef4c3a2986c46f8d131f5fa75d8287cf75a8e,1589,3,True,47,206560.73697931968,0
f06667648c487cc578c5fc3e5d726823750dd329a8da29e6623ab9545004904b,1458,3,False,144,517081.05009732983,0
9ee5a506001c851ddf71ceff743d4f313487e661382f8ecf0426eeac5c5da333,1773,3,True,112,310620.6393037565,0
2666562032ee2dc6f8a910a73fdb3ff1f421c84486c993f244e44c8fcb14813d,1197,2,False,239,172395.17874812984,0
9501abcb84acada6bb4928bbf3405ef9930fd79760ffeed1b66318c63f870542,1241,3,True,36,7432916.766471936,1
dc4dc9771cbbe333d70a1d8b2915e88ee627fcf12559cc995a2a8be0dacbdb25,1516,5,False,50,174591.2322114183,1
f13ac82893ae974f9484ec13a80933fe9b9cbe5c891c6ae78c5b22d22faa5539,1571,3,True,154,274612.58218909375,0
4adf96e6fd8b56f0de4887cf06454eb6c8387799c3869f39d36b55338a8a573f,1675,3,False,302,348795.5714903613,0
fe9a200249407d7915eccfb2cc99dad60ac9a9deaafaf3c9cb940dcc900df89a,1700,3,True,312,7742.152509538136,1
fa83b6f7d45caadb532370f7fb9dd6a8c2f56c2002f1ed572ee21eb8a7f3c43d,2069,5,False,345,302713.3054016586,1
442ba71bd3f9cad39d2772219c2d29ea9e1afb0b3c7bc06f0994cec2765a2d3a,1201,3,False,256,373071.9102788908,0
0c30c5852f0023fcc1e15b3ee6ba3ae2c622e07d80b2eb11651ac06872b620d9,1535,2,True,324,363765.29558695643,0
ddfdbd57eef06df5ef52bed3f91bc89bbd9d91225bf15ac4566215cae78b5099,1941,3,False,136,133764.3491144148,0
e0c6fb66475d8c9c4189c07d65fe46dcc8ab8872960f336dd89fe46dc44ae139,1408,3,True,164,222567.03977620078,0
8cb636693602953debb37076c107b60a1601948257a45894156c4a47e1dbb012,1496,3,False,290,204062.3797830304,0
3e926f6a65710220f8044b7c563c0d15006e5db47ef1805b2df11b641953686c,1082,3,True,71,316550.9159516442,0
602a087e6dca5093fa3ecc5322b80b71d88b28d4d7bfc23403983ac626d323a7,1399,3,False,257,4773.725984218772,1
e38cac45d73845dd3bea0ec83441ad037b3de26d4ef3c00231f931766518c687,1270,3,True,206,309102.08459746616,0
f4d754d89f2c12960b29bb67d697c4d0c543d3d97fda35a543bccd9529bc246a,1340,3,False,291,6242.759680114705,1
ca78ef216ba3c0fe1bbd35133bd5a4acdb2cd01ec60c45d986df00f792a60729,1208,3,False,156,189207.0369230492,0
c1dbece6ec781a1f88091d62ade66595a54c53004756c84183962c82021d8a1d,1112,5,False,341,316208.08735843055,1
ef876c572e13983d3cbdea6778de58b1aacd1b9f7b1fb1340ac201b80595668d,1194,2,True,58,8456168.757762821,1
d351321ea9a53c2310186b52a72cf518d8a5c5b7f2c8078b22df936f0b0a060a,869,5,False,268,281061.82224191696,1
0af1dfda949771e72e8f14e29ddcee8f8b379eb595be5c80fd820dc94962497d,1129,2,False,201,223748.2566073098,0
2e4dbe159090e35d0fa244c9a0476861419efb014bbc84dc4da4bad35b7e4c3d,1416,6,True,74,190673.30484240456,1
0500a758ddc0c5cf50100ef8312f78dccf2b9d092c0f016af2c1bfed83e465f1,1306,2,True,117,152361.64357453305,0
36cf26ffcf8aed1149710ec30e6934243cb0ecd66415053cd67e1f433055ed54,1627,4,False,285,3220.840249768615,1
438e2a8ddddd36c4b640999112966a697bf1f86e00e728a5ccb3a1a1b2342079,1268,5,False,304,141440.1007654514,1
